DonorName,AcceptorName,DonorSMILES,AcceptorSMILES,V_OC,J_SC,PCE,FF_percent,HOMO_D,LUMO_D,HOMO_A,LUMO_A,Lambda+,Lambda-,PubYear,DOI,source,orbital_label_type,split
D18,A2,CCCCCCC(CCCC)Cc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC(CCCC)CCCCCC)c(-c6cc7c(-c8cc(F)c(CC(CC)CCCC)s8)c8sccc8c(-c8cc(F)c(CC(CC)CCCC)s8)c7s6)s5)sc4c3s2)c1,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c2c(cc2c4c4c(c5ccc6c7cc8c(=O)n(C(CCCCC)CCCCC)c(=O)c9ccc%10c%11ccc%12c(=O)n(C(CCCCC)CCCCC)c(=O)c%13cc(c6c52)c(c%11c%12%13)c7c%10c98)=CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C5=C2C=4C3C=C5)C1=O,0.872,26.46,18.2,78.89,-5.51,-2.77,-5.7,-3.78,,,2024.0,10.1002/adma.202405718,opvdb_experimental,electrochemical,training
PTB7-Th,ITIC-4F,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,0.64,19.61,6.7,55.0,-5.21,-3.6,-5.82,-4.24,,,2024.0,10.1016/j.orgel.2024.107183,opvdb_experimental,electrochemical,training
SM 3,PC71BM,CCCCCCCCOc1cc(-c2ccc(-c3ccc4c5c(cccc35)C(=O)N(CCCCCCCC)C4=O)s2)c(F)cc1-c1ccc(-c2ccc3c4c(cccc24)C(=O)N(CCCCCCCC)C3=O)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,0.92,11.24,7.48,72.0,-5.95,-3.68,-5.9,-3.9,,,2024.0,10.1021/acsaem.4c00854,opvdb_experimental,electrochemical,training
PBDB-T-2F,COi8DFIC,COC(=O)C(C)(C)c1cc(C)cc(-c2sc3c4sc5cc(/C=C6/C(=O)c7cc(F)cc(c7)C(=O)/C6=C\c6cc(C(C)(C)C(=O)OC)c(-c7cc(C)cc(C(C)(C)C(=O)OC)c7)s6)sc5c4c(C(C)(C)C(=O)OC)ccc2-3)c1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3c(sc4c5c(sc34)-c3sc4cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc4c3C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)O5)-c3sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc4c32)cc1,0.835,17.82,6.57,44.11,-5.5,-3.6,-5.5,-3.88,,,2024.0,10.1039/d4tc05190d,opvdb_experimental,electrochemical,training
J61,m-ITIC,CCCCCCCCCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6cccs6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCCCCCCCCCCCC)s3)c3ccsc23)s1,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,0.91,18.31,11.8,70.0,-5.3,-3.15,-5.527,-3.854,,,2024.0,10.1039/d4cc06017b,opvdb_experimental,electrochemical,training
PDTP-TBT,Y6-BO,CCCCCCCCc1ccc(-n2c3ccsc3c3sc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sccc6CCCCCCCC)c6nsnc56)s4)cc32)cc1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,0.47,15.1,3.24,45.5,-5.27,-3.57,-5.65,-4.1,,,2024.0,10.1016/j.cej.2024.149865,opvdb_experimental,electrochemical,training
PTBTz2,L8-BO,CCOC(=O)c1cc2c(-c3nccs3)sc(-c3ncc(-c4cc5c(-c6ccc(CC)s6)c6sc(-c7cnc(-c8sc(-c9ncc(-c%10cc%11c(-c%12ccc(CC)s%12)c%12sc(-c%13cnc(-c%14sc(-c%15ncc(-c%16cc%17c(-c%18ccc(CC)s%18)c%18sccc%18c(-c%18ccc(CC)s%18)c%17s%16)s%15)c%15sc(C(=O)OCC)cc%14%15)s%13)cc%12c(-c%12ccc(CC)s%12)c%11s%10)s9)c9sc(C(=O)OCC)cc89)s7)cc6c(-c6ccc(CC)s6)c5s4)s3)c2s1,CCCCCCC(CCCC)Cc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.87,25.0,15.8,73.0,-5.48,-3.52,-5.68,-3.9,,,2024.0,10.1002/anie.202409814,opvdb_experimental,electrochemical,training
PTzBI-oF,PYF-T-o,CCCCCCCCN1C(=O)c2c(c(-c3cc(F)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sccc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3nn(CC(CC)CCCC)nc3c2-c2cc(F)cs2)C1=O,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(/C=C4\C(=O)c5c(F)cccc5C4=C(C#N)C#N)c(CCCCCCCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCCCCCCC)c(/C=C6\C(=O)c7c(ccc(-c8cccs8)c7F)C6=C(C#N)C#N)sc5c4n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3c21,0.86,26.4,16.0,70.1,-5.25,-3.25,-5.715,-3.805,,,2024.0,10.1016/j.porgcoat.2024.108309,opvdb_experimental,electrochemical,training
PTQ10,L8-BO,CCCCCCCCC(CCCCCC)COc1cnc2c(-c3cccs3)c(F)c(F)cc2n1,CCCCCCC(CCCC)Cc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.9,25.42,17.11,74.35,-5.54,-2.92,-5.68,-3.9,,,2024.0,10.1016/j.cej.2024.148728,opvdb_experimental,electrochemical,training
D18,A1,CCCCCCC(CCCC)Cc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC(CCCC)CCCCCC)c(-c6cc7c(-c8cc(F)c(CC(CC)CCCC)s8)c8sccc8c(-c8cc(F)c(CC(CC)CCCC)s8)c7s6)s5)sc4c3s2)c1,CCCCCCCCN1C(=O)c2c(-c3ccccc3)cc3c4c(cc(-c5ccccc5)c(c24)C1=O)C1C=C(c2ccccc2)C2=C4C1=C3C=C(c1ccccc1)C4C(=O)N(CCCCCCCC)C2=O,0.866,25.65,16.35,73.6,-5.51,-2.77,-5.66,-3.7,,,2024.0,10.1002/adma.202405718,opvdb_experimental,electrochemical,training
