DonorName,AcceptorName,DonorSMILES,AcceptorSMILES,V_OC,J_SC,FF_percent,PCE,HOMO_D,LUMO_D,HOMO_A,LUMO_A,Lambda+,Lambda-,PubYear,DOI,Source_Database
PPDT2FBT-A,P(NDITEG-T2),COCCOCCOCCOCC(COCCOCCOCCOC)Oc1cc(-c2ccc(-c3c(F)c(F)cc4nsnc34)s2)c(OC(COCCOCCOCCOC)COCCOCCOCCOC)cc1-c1cccs1,COCCOCCOCCOCC(COCCOCCOCCOC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(CC(COCCOCCOCCOC)COCCOCCOCCOC)C3=O,0.71,4.53,43.0,1.56,-5.19,-3.46,-5.44,-3.93,,,2019,10.1021/acsami.9b13812,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
P3HT,ITIC,CCCCCCc1cc(C)sc1C,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,0.55,5.2,52.2,1.5,-5.1,-3.2,-5.43,-3.81,,,2019,10.1039/c9ta90222h,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PDCBT,N2200,CCCCCCCCC(CCCCCC)COC(=O)c1csc(-c2cc(C(=O)OCC(CCCCCC)CCCCCCCC)c(-c3ccc(-c4cccs4)s3)s2)c1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O,0.91,3.82,41.09,1.45,-5.31,-3.0,-5.71,-4.02,,,2019,10.1039/c9tc03142a,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PPDT2FBT-A,P(NDITEG-T),COCCOCCOCCOCC(COCCOCCOCCOC)Oc1cc(-c2ccc(-c3c(F)c(F)cc4nsnc34)s2)c(OC(COCCOCCOCCOC)COCCOCCOCCOC)cc1-c1cccs1,COCCOCCOCCOCC(COCCOCCOCCOC)CN1C(=O)c2ccc3c4c(c(-c5cccs5)cc(c24)C1=O)C(=O)N(CC(COCCOCCOCCOC)COCCOCCOCCOC)C3=O,0.68,4.11,43.0,1.43,-5.19,-3.46,-5.72,-3.96,,,2019,10.1021/acsami.9b13812,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
T2-BTDF-(TE2),O-IDTBR,CCCCCCCCCCCCC(CCCCCCCCCC)COC(=O)c1cc(-c2cc(C(=O)OCC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c3ccc(-c4c(F)c(F)c(C)c5nsnc45)s3)s2)sc1-c1ccc(C)s1,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,1.01,2.7,50.0,1.38,-5.66,-3.6,-5.73,-3.92,,,2019,10.1021/acs.chemmater.9b03327,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PBDTTFTQ-DO,ITIC,CCCCCCCCOc1cccc(-c2nc3c(-c4cccs4)cc(F)c(-c4ccc(-c5cc6c(-c7cc(CCCCCCCC)c(CCCCCCCC)s7)c7sccc7c(-c7cc(CCCCCCCC)c(CCCCCCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,1.02,3.99,34.3,1.33,-5.37,-3.03,-5.48,-3.83,,,2019,10.1016/j.orgel.2019.06.007,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
44BT,PCBM,CCCCCCN(CCCC)C(=O)c1ccsc1-c1cc(C(=O)N(CCCC)CCCC)c(-c2ccc(-c3cccs3)s2)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,0.87,4.2,36.0,1.31,-5.3,-3.22,-6.1,-3.7,,,2019,10.1039/c9ra06909g,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
P1,IEICO-4F,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c(C(=O)OC)c4F)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)cc5OCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc3OCC(CC)CCCC)sc2-4)cc1,0.81,4.2,36.7,1.31,-5.6,-3.65,-5.44,-4.19,,,2019,10.1002/advs.201901773,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
"P(N,O-DBND-2T)",PC71BM,CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)COc1nc2ccccc2c2c(=O)n(CC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)c3cc(-c4ccc(-c5cccs5)s4)ccc3c12,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,0.91,7.91,69.0,4.96,-5.39,-3.19,-5.9,-3.9,,,2019,10.1039/c9ra01545k,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PDTBDT-BZ,BDTB-Na,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7c(sc8cc(C)sc87)c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(SCC(CC)CCCC)cc5)c5c6c(sc5c(-c5ccc(SCC(CC)CCCC)cc5)c4c32)-c2sc(/C=C3/C(=O)c4cc5ccccc5cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,0.863,12.72,43.2,4.95,-5.32,-3.51,-5.5,-3.8,,,2019,10.1021/acsami.9b14981,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
