PaperLabel,DOI,V_OC,J_SC,PCE,DonorNo,DonorName,DonorSMILES,HOMO_D,LUMO_D,Lambda+,AcceptorNo,AcceptorName,AcceptorSMILES,HOMO_A,LUMO_A,LUMO+1_A,Lambda-,Model1_PCE,Model2_PCE,Model3_PCE
11.0,10.1039/c5cc08484a,0.86,8.82,5.26,1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(CC)cc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)sc(CC)c2c1F,-4.746482,-2.580728,0.093498,23,11_SBF-PDI4,CCn1c(=O)c2ccc3c4ccc5c(=O)n(CC)c(=O)c6cc(-c7ccc8c(c7)-c7ccc(-c9cc%10c(=O)n(CC)c(=O)c%11ccc%12c%13ccc%14c(=O)n(CC)c(=O)c%15ccc(c9c%12c%11%10)c%13c%14%15)cc7C87c8cc(-c9cc%10c(=O)n(CC)c(=O)c%11ccc%12c%13ccc%14c(=O)n(CC)c(=O)c%15ccc(c9c%12c%11%10)c%13c%14%15)ccc8-c8ccc(-c9cc%10c(=O)n(CC)c(=O)c%11ccc%12c%13ccc%14c(=O)n(CC)c(=O)c%15ccc(c9c%12c%11%10)c%13c%14%15)cc87)c(c7ccc(c1=O)c2c37)c4c56,-5.80065095,-3.46917948,-3.45121997,0.045303,5.204331,4.704345,5.003976
30.0,10.1039/c6ta02045c,0.86,8.25,3.37,1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(CC)cc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)sc(CC)c2c1F,-4.746482,-2.580728,0.093498,46,30_tetra-PDI,CCn1c(=O)c2ccc3c4ccc5c(=O)n(CC)c(=O)c6cc(-c7ccc([Si](c8ccc(-c9cc%10c(=O)n(CC)c(=O)c%11ccc%12c%13ccc%14c(=O)n(CC)c(=O)c%15ccc(c9c%12c%11%10)c%13c%14%15)cc8)(c8ccc(-c9cc%10c(=O)n(CC)c(=O)c%11ccc%12c%13ccc%14c(=O)n(CC)c(=O)c%15ccc(c9c%12c%11%10)c%13c%14%15)cc8)c8ccc(-c9cc%10c(=O)n(CC)c(=O)c%11ccc%12c%13ccc%14c(=O)n(CC)c(=O)c%15ccc(c9c%12c%11%10)c%13c%14%15)cc8)cc7)c(c7ccc(c1=O)c2c37)c4c56,-5.9233743,-3.46917948,-3.46591411,0.040442,5.193091,4.451989,4.730417
4.0,10.1021/jacs.6b03562,0.79,17.9,8.11,1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(CC)cc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)sc(CC)c2c1F,-4.746482,-2.580728,0.093498,9,04_TPB,CC(C)n1c(=O)c2ccc3c4ccc5c(=O)n(C(C)C)c(=O)c6c(-c7ccc(-c8c9cc(-c%10cc%11c(=O)n(C(C)C)c(=O)c%12ccc%13c%14ccc%15c(=O)n(C(C)C)c(=O)c%16ccc(c%10c%13c%12%11)c%14c%15%16)sc9c(-c9ccc(-c%10cc%11c%12ccc%13c(=O)n(C(C)C)c(=O)c%14ccc(c%15ccc%16c(=O)n(C(C)C)c(=O)c%10c%16c%15%11)c%12c%14%13)s9)c9cc(-c%10cc%11c%12ccc%13c(=O)n(C(C)C)c(=O)c%14ccc(c%15ccc%16c(=O)n(C(C)C)c(=O)c%10c%16c%15%11)c%12c%14%13)sc89)s7)cc(c7ccc(c1=O)c2c37)c4c56,-5.47248165,-3.50401005,-3.49421395,0.043141,4.962786,5.003674,5.028773
8.0,10.1021/acs.chemmater.5b04570,0.81,12.74,4.76,1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(CC)cc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)sc(CC)c2c1F,-4.746482,-2.580728,0.093498,14,08_alphaPBDT,CCc1ccc(-c2c3cc(-c4cc5c6ccc7c(=O)n(C(C)C)c(=O)c8ccc(c9ccc%10c(=O)n(C(C)C)c(=O)c4c%10c95)c6c87)sc3c(-c3ccc(CC)s3)c3cc(-c4cc5c6ccc7c(=O)n(C(C)C)c(=O)c8ccc(c9ccc%10c(=O)n(C(C)C)c(=O)c4c%10c95)c6c87)sc23)s1,-5.21723886,-3.42945086,-3.40387216,0.070786,5.213072,5.264922,5.300101
8.0,10.1021/acs.chemmater.5b04570,0.77,10.15,3.49,1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(CC)cc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)sc(CC)c2c1F,-4.746482,-2.580728,0.093498,15,08_alphaPPID,CCn1c(=O)c2ccc3c4ccc5c(=O)n(CC)c(=O)c6c(-c7cc8c9c(=O)n(C(C)C)c(=O)c9c9cc(-c%10cc%11c%12ccc%13c(=O)n(CC)c(=O)c%14ccc(c%15ccc%16c(=O)n(CC)c(=O)c%10c%16c%15%11)c%12c%14%13)cc%10c%11c(=O)n(C(C)C)c(=O)c%11c(c7)c8c9%10)cc(c7ccc(c1=O)c2c37)c4c56,-6.00854593,-3.48278517,-3.46917948,0.073345,4.636148,4.156031,4.337127
8.0,10.1021/acs.chemmater.5b04570,0.81,9.8,3.49,1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(CC)cc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)sc(CC)c2c1F,-4.746482,-2.580728,0.093498,16,08_betaPBDT,CCc1ccc(-c2c3cc(-c4cc5c(=O)n(C(C)C)c(=O)c6ccc7c8ccc9c(=O)n(C(C)C)c(=O)c%10ccc(c4c7c65)c8c9%10)sc3c(-c3ccc(CC)s3)c3cc(-c4cc5c(=O)n(C(C)C)c(=O)c6ccc7c8ccc9c(=O)n(C(C)C)c(=O)c%10ccc(c4c7c65)c8c9%10)sc23)s1,-5.46812783,-3.43189988,-3.38999435,0.082072,5.87576,5.88982,5.889949
34.0,10.1039/c6ta04358e,0.85,16.33,7.63,1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(CC)cc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)sc(CC)c2c1F,-4.746482,-2.580728,0.093498,50,34_DICTF,CCC1(CC)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,-5.76554826,-3.32468703,-3.16359563,0.081074,4.382355,4.742119,4.483975
8.0,10.1021/acs.chemmater.5b04570,0.78,9.14,3.2,1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(CC)cc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)sc(CC)c2c1F,-4.746482,-2.580728,0.093498,17,08_betaPPID,CCn1c(=O)c2ccc3c4ccc5c(=O)n(CC)c(=O)c6cc(-c7cc8c9c(=O)n(C(C)C)c(=O)c9c9cc(-c%10cc%11c(=O)n(CC)c(=O)c%12ccc%13c%14ccc%15c(=O)n(CC)c(=O)c%16ccc(c%10c%13c%12%11)c%14c%15%16)cc%10c%11c(=O)n(C(C)C)c(=O)c%11c(c7)c8c9%10)c(c7ccc(c1=O)c2c37)c4c56,-5.92609544,-3.47407753,-3.44332866,0.075588,4.800807,4.42551,4.525355
3.0,10.1021/acs.accounts.5b00199,0.97,13.55,6.08,1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(CC)cc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)sc(CC)c2c1F,-4.746482,-2.580728,0.093498,4,03_3.2b,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5cc(CC)c(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3sc(C=C5C(=O)c6ccccc6C5=C(C#N)C#N)cc3CC)sc2-4)cc1,-5.20907544,-3.23869905,-3.04767513,0.071026,5.396625,4.948617,5.249843
30.0,10.1039/c6ta02045c,0.8,15.2,8.1,1,PTB7-Th,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sc(CC)cc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)sc(CC)c2c1F,-4.746482,-2.580728,0.093498,45,30_hPDI4,CC(C)N1C(=O)C2=CC3c4c(c5cc6c(=O)n(C(C)C)c(=O)c7cc8c9c%10c(cc%11c(=O)n(C(C)C)c(=O)c%12cc4c(c5c9c76)c%10c%11%12)C4c5cc6c(=O)n(C(C)C)c(=O)c7cc9c%10c%11c(cc%12c(=O)n(C(C)C)c(=O)c%13cc(c(c5c%10c76)c%11c%12%13)C84)C4c5cc6c(=O)n(C(C)C)c(=O)c7ccc8c%10ccc%11c(=O)n(C(C)C)c(=O)c%12cc(c(c5c8c76)c%10c%11%12)C94)C4C=C5C(=O)N(C(C)C)C(=O)c6ccc7c(c65)c4c3c3c2c(ccc37)C1=O,-6.01507667,-3.67217641,-3.48986013,0.049885,5.589898,5.386185,5.799097
